阿城	ACB
阿达日嘎	AEC
阿达日格	ARC
阿尔乡	ARD
阿金	AJD
阿拉沟	ALR
阿里河	AHX
阿龙山	ASX
阿木尔	JTX
阿南庄	AZM
阿乌尼	AWX
阿寨	AAW
阿贵图	AGC
艾比湖	AHR
艾不盖	ABC
埃岱	ADW
艾河	AHP
爱河	AHB
艾家村	AJJ
隘口	AKZ
艾田	ATW
艾友营	AYD
阿克苏	ASR
阿克陶	AER
阿拉山口	AKR
安北	ABR
安边	ABW
安柴	ACK
安达	ADX
安德	ARW
安定	ADP
安多	ADO
安福寺	AFN
安富镇	AZW
安广	AGT
安化	PKQ
安华	AHH
安集海	AJR
安家	AJB
安家湾	AJW
安靖	PYW
安居	AJC
安康	AKY
安康东	ADY
安口窑	AYY
安龙	AUZ
安陆	ALN
安民	ANT
安平	APT
安庆	AQH
安庆北	ABH
安庆沟	AQD
安庆西	APH
鞍山	AST
岸山	ASZ
鞍山西	AXT
安恕	ATT
安顺	ASW
安太堡	APV
安塘	ATV
安亭	ATH
安亭北	ASH
安图	ATL
安溪	AXS
安阳	AYF
安阳东	ADF
安阳西	AXF
安邑	AYV
安远镇	AXJ
安子沟	AZY
昂昂溪	AAX
昂乃	AND
敖包沟	AOC
敖汉	AHD
鳌江	ARH
敖来	AID
坳上	ASQ
敖头	ATB
阿图什	ATR
阿尔山	ART
阿尔山北	ARX
巴楚	BCR
八村	BVX
八达沟	BVB
八大家	BDN
八达岭	ILP
八道壕	BDD
巴东	BNN
八斗	BDZ
八陡	BDK
八都	BUG
八渡	BWZ
八方	BAX
巴哥	BGR
拔贡	BGZ
巴关河	BHW
巴关岭	BLZ
八虎力	BUB
巴胡塔	BHD
把集	BGG
八家子	BZL
八角台	BTD
八景	BAG
八棵树	BKR
八里	CPW
八里湾	BVH
八里庄	BLP
坝梁	BLC
巴林	BLX
八面城	BMD
八面通	BMB
八庙	KBW
八盘磨	BMR
扒挪块	BKW
八盘峡	BPJ
灞桥	BQY
巴日图	BRX
巴山	BAY
八苏木	BSC
巴图塔	BWC
鲅鱼圈	BYT
巴中	IEW
霸州	RMP
白壁关	BGV
白城	BCT
柏村	BCW
白村	BCY
白洞	BDA
白墩子	BZJ
百股	BGD
白果	BIW
柏果	BGM
白海	BIT
白合	BHF
白河	BEL
白鹤隘	BAZ
白河东	BIY
白鹤岭	BHH
白河县	BEY
白桦排	BPX
白芨沟	BJJ
白鸡坡	BBM
柏家	BBB
白家店	BJK
白涧	BAP
